road_width,latitude,longitude,quality,num_bedrooms,num_bathrooms,direction,age,land_area,usage_area,hospital_3km,convenience_store_3km,discount_store_3km,department_store_3km,education_3km,bank_3km,hospital_3km_shortest,convenience_store_3km_shortest,discount_store_3km_shortest,department_store_3km_shortest,education_3km_shortest,bank_3km_shortest,target,index_right
6.0,13.944345,100.549,ค่อนข้างแย่,5,1,ทิศตะวันตกเฉียงเหนือ,28,17,105,31,51,3,1,26,19,0.438,0.462,1.429,0.698,0.279,0.691,1650000,0
4.0,13.91575,100.43783,ดีมาก,2,3,,17,29,133,38,44,5,0,30,21,1.029,0.046,0.495,0.0,1.44,1.477,1558000,0
8.0,13.89326,100.50018,แย่,5,3,ทิศเหนือ,26,16,104,113,93,8,0,46,40,0.649,0.587,1.35,0.0,0.802,1.26,1550000,0
4.0,13.919129,100.558135,แย่,4,1,,16,50,204,95,96,12,1,55,45,0.322,0.363,0.829,2.325,0.307,0.93,4000000,0
4.0,13.802191,100.40599,ดีมาก,2,3,,5,20,102,28,47,10,0,42,13,0.333,0.239,1.427,0.0,0.685,0.574,1550000,0
6.0,13.91693,100.36397,ดีมาก,1,1,ทิศใต้,22,16,112,16,17,2,0,7,0,0.555,0.263,1.404,0.0,1.641,0.0,1500000,0
5.0,13.915648,100.501654,ดีมาก,4,2,ทิศตะวันออกเฉียงเหนือ,25,18,80,75,73,6,0,45,27,0.474,0.382,0.645,0.0,0.599,0.559,900000,0
6.0,13.89326,100.39471,พอใช้,4,2,ทิศตะวันออกเฉียงเหนือ,27,20,116,70,60,14,2,13,27,0.536,0.565,0.195,2.499,0.595,1.602,1450000,0
4.0,13.93908,100.40389,พอใช้,4,2,,0,20,93,29,30,6,0,8,7,0.716,0.081,1.042,0.0,0.957,0.868,1550000,0
6.0,13.861304,100.403443,พอใช้,5,3,ทิศตะวันออก,16,17,96,56,56,9,2,19,33,0.531,0.17,0.598,1.932,0.967,0.835,1400000,0
4.0,13.93582,100.40175,ดีมาก,5,2,,0,21,90,32,32,6,0,7,7,0.418,0.383,0.739,0.0,0.567,0.524,1550000,0
4.0,13.9092,100.3968,ดี,1,4,,30,17,104,54,39,11,0,21,17,0.129,0.166,0.223,0.0,0.213,0.214,1200000,0
4.0,13.938476,100.401675,ดีมาก,1,3,,0,24,86,28,31,6,0,7,7,0.474,0.265,1.018,0.0,0.736,0.631,1550000,0
12.0,13.950441,100.353644,พอใช้,2,4,ทิศตะวันออกเฉียงใต้,24,16,92,14,18,2,0,7,1,0.342,0.387,1.137,0.0,1.626,1.724,1235000,0
4.0,13.854768,100.435651,ดี,5,2,,0,16,100,50,48,4,0,35,3,0.296,0.383,0.702,0.0,0.736,1.038,1550000,0
4.0,13.88456,100.39846,พอใช้,3,3,,29,18,132,65,58,14,2,15,29,0.25,0.628,0.485,1.577,0.815,0.966,1300000,0
4.0,13.938566,100.401602,แย่,5,2,,0,24,88,28,31,6,0,7,7,0.472,0.274,1.03,0.0,0.737,0.631,1550000,0
4.0,13.906879,100.344044,พอใช้,1,1,,22,17,102,6,16,1,0,5,0,0.976,0.333,1.078,0.0,0.878,0.0,1200000,0
